"","Order","Family","Genera","Taxa","iucn_shapefile","molecular_data","iucn_names","Endemic_Revised","depth_upper","depth_lower","main_islands","nwhi","total"
"136","Perciformes","Labridae","Thalassoma","Thalassoma_ballieui",1,1,"Thalassoma ballieui",1,1,60,0.43196999,0.440099686,0.872069676
"137","Perciformes","Labridae","Thalassoma","Thalassoma_duperrey",1,1,"Thalassoma duperrey",1,1,21,0.43196999,0.440099686,0.872069676
"138","Perciformes","Labridae","Thalassoma","Thalassoma_lutescens",1,1,"Thalassoma lutescens",0,1,30,0.016583266,0.016895365,0.033478631
"139","Perciformes","Labridae","Thalassoma","Thalassoma_purpureum",1,1,"Thalassoma purpureum",0,1,20,0.009877931,0.010063835,0.019941766
"140","Perciformes","Labridae","Thalassoma","Thalassoma_quinquevittatum",1,1,"Thalassoma quinquevittatum",0,1,40,0.011492608,0.011708899,0.023201507
"141","Perciformes","Labridae","Thalassoma","Thalassoma_trilobatum",1,1,"Thalassoma trilobatum",0,1,10,0.012696051,0.012934991,0.025631042
"142","Perciformes","Lethrinidae","Monotaxi","Monotaxis_grandoculis",1,1,"Monotaxis grandoculis",0,3,60,0.010093008,0.007577999,0.017671007
"143","Perciformes","Lutjanidae ","Aphareus","Aphareus_furca",1,1,"Aphareus furca",0,1,302,0.009673934,0.009766589,0.019440524
"144","Perciformes","Lutjanidae ","Aprion","Aprion_virescens",1,1,"Aprion virescens",0,0,120,0.008935829,0.009021415,0.017957244
"145","Perciformes","Lutjanidae ","Lutjanus","Lutjanus_fulvus",1,1,NA,NA,NA,NA,NA,NA,NA
"146","Perciformes","Lutjanidae ","Lutjanus","Lutjanus_kasmira",1,1,NA,NA,NA,NA,NA,NA,NA
"147","Perciformes","Malacanthidae","Malacanthus","Malacanthus_brevirostris",0,1,NA,NA,NA,NA,NA,NA,NA
"148","Perciformes","Microdesmidae","Gunnellichthys","Gunnellichthys_curiosus",1,0,"Gunnellichthys curiosus",0,0,60,0.018710763,0.003026501,0.021737265
"149","Perciformes","Microdesmidae","Nemateleotris","Nemateleotris_magnifica",1,1,"Nemateleotris magnifica",0,6,61,0.007745063,0.009383282,0.017128345
"150","Perciformes","Microdesmidae","Ptereleotris","Ptereleotris_heteroptera",1,1,"Ptereleotris heteroptera",0,5,46,0.013785305,0.006485687,0.020270992
"151","Perciformes","Mullidae","Mulloidichthys","Mulloidichthys_flavolineatus",1,1,"Mulloidichthys flavolineatus",0,1,97,0.009993559,0.010089276,0.020082835
"152","Perciformes","Mullidae","Mulloidichthys","Mulloidichthys_mimicus",1,0,"Mulloidichthys mimicus",0,12,15,0.172478406,0.176277713,0.348756118
"153","Perciformes","Mullidae","Mulloidichthys","Mulloidichthys_pflugeri",1,0,NA,NA,NA,NA,NA,NA,NA
"154","Perciformes","Mullidae","Mulloidichthys","Mulloidichthys_vanicolensis",1,1,"Mulloidichthys vanicolensis",0,1,113,0.010532179,0.010633055,0.021165235
"155","Perciformes","Mullidae","Mulloidichthys","Mulloidichthys_pfluegeri",1,0,"Mulloidichthys pfluegeri",0,13,110,0.086139844,0.086964882,0.173104725
"156","Perciformes","Mullidae","Parupeneus","Parupeneus_chrysonemus",1,1,"Parupeneus chrysonemus",1,20,183,0.43196999,0.440099686,0.872069676
"157","Perciformes","Mullidae","Parupeneus","Parupeneus_cyclostomus",1,1,"Parupeneus cyclostomus",0,2,125,0.010806887,0.010910394,0.021717281
"158","Perciformes","Mullidae","Parupeneus","Parupeneus_insularis",1,1,"Parupeneus insularis",0,1,80,0.045579933,0.046016493,0.091596426
"159","Perciformes","Mullidae","Parupeneus","Parupeneus_multifasciatus",1,1,"Parupeneus multifasciatus",0,3,161,0.012105204,0.012396974,0.024502178
"160","Perciformes","Mullidae","Parupeneus","Parupeneus_pleurostigma",1,1,"Parupeneus pleurostigma",0,1,120,0.011369089,0.011477981,0.02284707
"161","Perciformes","Mullidae","Parupeneus","Parupeneus_porphyreus",1,0,"Parupeneus porphyreus",1,2,140,0.465690699,0.474455021,0.940145719
"162","Perciformes","Oplegnathidae","Oplegnathus","Oplegnathus_fasciatus",0,1,NA,NA,NA,NA,NA,NA,NA
"163","Perciformes","Oplegnathidae","Oplegnathus","Oplegnathus_punctatus",0,1,NA,NA,NA,NA,NA,NA,NA
"164","Perciformes","Pinguipedidae","Parapercis","Parapercis_schauinslandi",0,0,NA,NA,NA,NA,NA,NA,NA
"165","Perciformes","Pomacanthidae ","Centropyge","Centropyge_fisheri",1,0,"Centropyge fisheri",0,3,60,0.011305897,0.011518675,0.022824572
"166","Perciformes","Pomacanthidae ","Centropyge","Centropyge_flavissima",1,1,NA,NA,NA,NA,NA,NA,NA
