Order,Family,Genera,iucn_names,Taxa,iucn_shapefile,molecular_data,depth_upper,depth_lower,nwhi,main_islands,total_prange,endemicity,missing_species
Perciformes,Serranidae ,Hyporthodus,Hyporthodus quernus,Hyporthodus_quernus,1,1,20,380,NA,NA,NA,NA,1
Perciformes,Labridae,Iniistius,Iniistius aneitensis,Iniistius_aneitensis,1,1,12,92,9.17E-05,0.019940405,0.020032064,0,0
Perciformes,Labridae,Iniistius,Iniistius pavo,Iniistius_pavo,1,1,2,100,0.011567977,0.010736445,0.022304422,0,0
Perciformes,Labridae,Iniistius,Iniistius umbrilatus,Iniistius_umbrilatus,1,0,6,76,0.518640526,0.481359473,0.999999999,1,1
Perciformes,Kyphosidae,Kyphosus,Kyphosus cinerascens,Kyphosus_cinerascens,1,1,1,40,0.009736462,0.009549058,0.019285521,0,0
Perciformes,Labridae,Labroides,Labroides phthirophagus,Labroides_phthirophagus,1,1,1,90,0.481085715,0.446504186,0.927589902,1,0
Perciformes,Lutjanidae ,Lutjanus,Lutjanus kasmira,Lutjanus_kasmira,1,1,0.100000001,265,NA,NA,NA,NA,1
Perciformes,Labridae,Macropharyngodon,Macropharyngodon geoffroy,Macropharyngodon_geoffroy,1,1,6,32,0.481085715,0.446504186,0.927589902,1,0
Tetraodontiformes,Balistidae ,Melichthys,Melichthys niger,Melichthys_niger,1,1,0,75,0.012546322,0.012304835,0.024851157,0,0
Perciformes,Lethrinidae,Monotaxi,Monotaxis grandoculis,Monotaxis_grandoculis,1,1,3,60,0.007716642,0.010432601,0.018149242,0,0
Perciformes,Mullidae,Mulloidichthys,Mulloidichthys flavolineatus,Mulloidichthys_flavolineatus,1,1,1,97,0.010202814,0.010006435,0.020209249,0,0
Perciformes,Mullidae,Mulloidichthys,Mulloidichthys mimicus,Mulloidichthys_mimicus,1,0,12,15,0.179428209,0.172700761,0.352128969,0,1
Perciformes,Mullidae,Mulloidichthys,Mulloidichthys pfluegeri,Mulloidichthys_pfluegeri,1,0,13,110,0.08794353,0.086250827,0.174194357,0,1
Perciformes,Mullidae,Mulloidichthys,Mulloidichthys vanicolensis,Mulloidichthys_vanicolensis,1,1,1,113,0.010752713,0.010545749,0.021298462,0,0
Beryciformes,Holocentridae ,Myripristis,Myripristis amaena,Myripristis_amaena,1,1,5,52,0.041711576,0.038713254,0.08042483,0,0
Beryciformes,Holocentridae ,Myripristis,Myripristis berndti,Myripristis_berndti,1,1,3,160,NA,NA,NA,NA,1
Beryciformes,Holocentridae ,Myripristis,Myripristis chryseres,Myripristis_chryseres,1,1,12,350,NA,NA,NA,NA,1
Beryciformes,Holocentridae ,Myripristis,Myripristis kuntee,Myripristis_kuntee,1,1,2,55,0.013730247,0.012743286,0.026473534,0,0
Beryciformes,Holocentridae ,Myripristis,Myripristis vittata,Myripristis_vittata,1,1,3,80,6.40E-05,0.013930809,0.013994844,0,0
Perciformes,Apogonidae ,Ostorhinchus,NA,Ostorhinchus_maculiferus,0,0,NA,NA,NA,NA,NA,NA,1
Perciformes,Gobiidae,Psilogobius,NA,Psilogobius_mainlandi,0,0,NA,NA,NA,NA,NA,NA,1
Perciformes,Kyphosidae,Kyphosus,NA,Kyphosus_hawaiiensis,0,0,NA,NA,NA,NA,NA,NA,1
Perciformes,Pinguipedidae,Parapercis,NA,Parapercis_schauinslandi,0,0,NA,NA,NA,NA,NA,NA,1
Perciformes,Pomacentridae,Chromis,NA,Chromis_hanui,0,0,NA,NA,NA,NA,NA,NA,1
Perciformes,Pomacentridae,Chromis,NA,Chromis_leucura,0,0,NA,NA,NA,NA,NA,NA,1
Perciformes,Pomacentridae,Chromis,NA,Chromis_ovalis,0,0,NA,NA,NA,NA,NA,NA,1
Perciformes,Pomacentridae,Chromis,NA,Chromis_verater,0,0,NA,NA,NA,NA,NA,NA,1
Perciformes,Pomacentridae,Plectroglyphidodon,NA,Plectroglyphidodon_sindonis,0,0,NA,NA,NA,NA,NA,NA,1
Tetraodontiformes,Ostraciidae ,Lactoria,NA,Lactoria_fornasini,0,0,NA,NA,NA,NA,NA,NA,1
Anguilliformes,Muraenidae,Enchelynassa,NA,Enchelynassa_canina,0,1,NA,NA,NA,NA,NA,NA,1
Anguilliformes,Ophichthidae,Myrichthys ,NA,Myrichthys_magnificus,0,1,NA,NA,NA,NA,NA,NA,1
Carangiformes,Carangidae ,Pseudocaranx,NA,Pseudocaranx_dentex,0,1,NA,NA,NA,NA,NA,NA,1
Lophiiformes,Antennariidae,Antennarius,NA,Antennarius_commerson,0,1,NA,NA,NA,NA,NA,NA,1
Perciformes,Apogonidae ,Pristiapogon,NA,Pristiapogon_kallopterus,0,1,NA,NA,NA,NA,NA,NA,1
Perciformes,Cheilodactylidae,Cheilodactylus,NA,Cheilodactylus_vittatus,0,1,NA,NA,NA,NA,NA,NA,1
Perciformes,Kuhliidae,Kuhlia,NA,Kuhlia_sandvicensis,0,1,NA,NA,NA,NA,NA,NA,1
Perciformes,Kyphosidae,Kyphosus,NA,Kyphosus_vaigiensis,0,1,NA,NA,NA,NA,NA,NA,1
Perciformes,Lutjanidae ,Lutjanus,NA,Lutjanus_fulvus,0,1,NA,NA,NA,NA,NA,NA,1
