Order,Family ,Genera,Taxa,Endemic_Revised,iucn_shapefile,molecular_data,depth_min,depth_max,trophic_level,activity,body_size,larval_dispersal,PLD
Beryciformes,Holocentridae ,Sargocentron,Sargocentron_xantherythrum,1,1,1,,,,,,,
Aulopiformes ,Synodontidae,Saurida,Saurida_gracilis,0,1,1,,,,,,,
Perciformes,Scaridae ,Scarus,Scarus_dubius,1,1,1,,,,,,,
Perciformes,Scaridae ,Scarus,Scarus_psittacus,0,1,1,,,,,,,
Perciformes,Scaridae ,Scarus,Scarus_rubroviolaceus,0,1,1,,,,,,,
Carangiformes,Carangidae ,Scomberoides,Scomberoides_lysan,0,1,1,,,,,,,
Scorpaeniformes,Scorpaenidae,Scorpaenodes,Scorpaenodes_parvipinnis,0,1,1,,,,,,,
Scorpaeniformes,Scorpaenidae,Scorpaenopsis,Scorpaenopsis_diabolus,0,1,1,,,,,,,
Anguilliformes,Muraenidae,Scuticaria ,Scuticaria_tigrina,0,1,1,,,,,,,
Perciformes,Carangidae ,Seriola,Seriola_dumerili,0,1,1,,,,,,,
Perciformes,Pomacentridae,Stegastes,Stegastes_nigricans,1,1,1,,,,,,,
Perciformes,Labridae,Stethojulis,Stethojulis_balteata,1,1,1,,,,,,,
Tetraodontiformes,Balistidae ,Sufflamen,Sufflamen_fraenatum,0,1,1,,,,,,,
Aulopiformes ,Synodontidae,Synodus,Synodus_binotatus,0,1,1,,,,,,,
Aulopiformes ,Synodontidae,Synodus,Synodus_dermatogenys,0,1,1,,,,,,,
Aulopiformes ,Synodontidae,Synodus,Synodus_ulae,0,1,1,,,,,,,
Aulopiformes ,Synodontidae,Synodus,Synodus_variegatus,0,1,1,,,,,,,
Scorpaeniformes,Scorpaenidae,Taenianotus,Taenianotus_triacanthus,0,1,1,,,,,,,
Perciformes,Labridae,Thalassoma,Thalassoma_ballieui,1,1,1,,,,,,,
Perciformes,Labridae,Thalassoma,Thalassoma_duperrey,1,1,1,,,,,,,
Perciformes,Labridae,Thalassoma,Thalassoma_lutescens,0,1,1,,,,,,,
Perciformes,Labridae,Thalassoma,Thalassoma_purpureum,0,1,1,,,,,,,
Perciformes,Labridae,Thalassoma,Thalassoma_quinquevittatum,0,1,1,,,,,,,
Perciformes,Labridae,Thalassoma,Thalassoma_trilobatum,0,1,1,,,,,,,
Tetraodontiformes,Balistidae ,Xanthichthys,Xanthichthys_mento,0,1,1,,,,,,,
Perciformes,Zanclidae,Zanclus,Zanclus_cornutus,0,1,1,,,,,,,
Perciformes,Acanthuridae,Zebrasoma,Zebrasoma_flavescens,0,1,1,,,,,,,
Perciformes,Acanthuridae,Zebrasoma,Zebrasoma_velifer,0,1,1,,,,,,,
